Annotation Specialist,Subjective Impression,OneWord,Song,Performer,Performer2,Performer3,Performer4,Performer5,label,label2,label3,label4,,producer,producer2,producer3,producer4,producer5,producer6,Producer7,Producer8,songwriters,songwriter2,songwriter3,songwriter4,songwriter5,songwriter6,songwriter7,songwriter8,songwriter9,songwriter10,songwriter11,songwriter12,songwriter13,songwriter14,songwriter15,songwriter16,songwriter17,songwriter18,songwriter19,songwriter20,songwriter21,songwriter22,songwriter23,songwriter24,songwriter25,songwriter26,songwriter27,songwriter28,songwriter29,songwriter30
Abigail,"Really textured, good vibes.",Rips,Freak Like Me,Adina Howard,,,,,East West,Lola Waxx,,,,Mass Order,,,,,,,,Eugene Hanes,Marc Valentine,Loren Hill,"William ""Bootsy"" Collins","George Clinton, Jr.",,,,,,,,,,,,,,,,,,,,,,,,,
Abigail,"Ricky went insane with this. Beat, vocals, insanity",Rips,Livin' La Vida Loca,Ricky Martin,,,,,Columbia,,,,,Desmond Child,,,,,,,,Draco Rosa,Desmond Child,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abigail,"Good car song, it makes sense that it's popular",Rips,Money,Cardi B,,,,,Atlantic,,,,,J. White Did It,,,,,,,,Belcalis Almanzar,Anthony White,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abigail,"Lionel, this was incredible. Good pining music. ",Rips,My Love,Lionel Richie,,,,,Motown,,,,,Lionel RichieJames Anthony Carmichael,,,,,,,,Lionel Richie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abigail,"Not as good as it could be, but something about it vibes.",Rips,Looking Through Patient Eyes,P.M. Dawn,,,,,Gee Street,,,,,P.M. Dawn,,,,,,,,Attrell Cordes,George Michael,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abigail,RIPS RIPS they KNEW what they were doing with this one,Rips,Ms. Jackson,OutKast,,,,,LaFace,Arista,,,,Earthtone III,,,,,,,,André Benjamin,Antwan Patton,David Sheats,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abigail,"Feels confusing to listen to, can't decide",Doesn't Rip,Miss You,Aaliyah,,,,,Blackground,Universal,,,,Teddy Bishop,,,,,,,,Johntá Austin,Teddy Bishop,Elgin Baylor Lumpkin,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abigail,"Can't do it, it's just not good",Doesn't Rip,Incomplete,Backstreet Boys,,,,,Jive,,,,,Dan Muckala,,,,,,,,Dan Muckala,Lindy Robbins,Jess Cates,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abigail,ATE. one of the better christmas songs honestly,Rips,Jingle Bell Rock,Bobby Helms,,,,,Decca,,,,,Paul Cohen,,,,,,,,Joe Beal,Jim Boothe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abigail,It just rips bro ,Rips,If,Janet Jackson,,,,,Virgin,,,,,Janet Jackson,Jimmy Jam and Terry Lewis,,,,,,,Janet Jackson,Jimmy Jam & Terry Lewis,Harvey Fuqua,John Bristol,Jackey Beavers,,,,,,,,,,,,,,,,,,,,,,,,,
Abigail,"Kinda confused why this is so popular? Like it's not a bad slow song, but repeated enjoyed listening?",Doesn't Rip,Now And Forever,Richard Marx,,,,,Capitol,,,,,Richard Marx,,,,,,,,Richard Marx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abigail,"This song makes me laugh, but also it's so good and vibes hard",Rips,It Wasn't Me,Shaggy ,"Ricardo ""RikRok"" Ducent",,,,MCA,,,,,"Shaun ""Sting"" Pizzonia",,,,,,,,Orville Burrell,Rickardo Ducent,Shaun Pizzonia,Brian Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
Abigail,RIPS dude come on,Rips,Hey Ya!,OutKast,,,,,Arista,BMG,,,,André 3000,,,,,,,,André 3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abigail,"I am not a fan of The Cure, so I feel biased against it, but I also can see why this is popular",Rips,Love Song,The Cure,,,,,Fiction,Elektra,,,,Robert Smith,Dave Allen,,,,,,,Robert Smith,Simon Gallup,Porl Thompson,Roger O'Donnell,Boris Williams,Lol Tolhurst,,,,,,,,,,,,,,,,,,,,,,,,
Abigail,Prime running through warm rain music,Rips,If Wishes Came True,Sweet Sensation,,,,,ATCO,,,,,Steve Peck,,,,,,,,Deena Charles,Robert Steele,Russ DeSalvo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abigail,More good yearning music,Rips,If You Love Me,Mint Condition,,,,,Elektra,,,,,Mint Condition,,,,,,,,Keri Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abigail,This just bops ,Rips,I Just Wanna Love U (Give It 2 Me),JAY-Z,,,,,Roc-A-Fella,Def Jam,,,,The Neptunes,,,,,,,,Shawn Carter,Pharrell Williams,Chad Hugo,Rick James,,,,,,,,,,,,,,,,,,,,,,,,,,
Abigail,Meh?? Not really compelling to me,Doesn't Rip,"Not Gon' Cry (From ""Waiting To Exhale"")",Mary J. Blige,,,,,Arista,Sony,,,,Babyface,,,,,,,,Babyface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abigail,Also kinda meh to me,Doesn't Rip,Kissin' You,Total,,,,,,,,,,,,,,,,,,Raphael Saadiq,Julian Jackson,Brian James,Janice Marie Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
Abigail,Lyrical Madness,Rips,Izzo (H.O.V.A.),JAY-Z,,,,,Roc-A-Fella,Def Jam,,,,Kanye West,,,,,,,,Shawn Carter,Kanye West,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abigail,Classic,Rips,Life Is A Highway,Rascal Flatts,,,,,Capitol,,,,,Tom Cochrane,Joe Hardy,,,,,,,Tom Cochrane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abigail,"If I was sobbing after a breakup, this could make sense? Not horrible musically but not my taste",Doesn't Rip,Happier,Ed Sheeran,,,,,Asylum,Atlantic,,,,Benny Blanco,,,,,,,,Ryan Tedder,Ed Sheeran,Benny Blanco,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abigail,"Not a country fan, but this makes sense",Rips,God's Country,Blake Shelton,,,,,Warner Bros. Nashville,,,,,Scott Hendricks,,,,,,,,Devin Dawson,Jordan Schmidt,Michael Hardy,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abigail,Just not feeling it,Doesn't Rip,I Adore Mi Amor,Color Me Badd,,,,,Giant,,,,,"Hamza Lee, Royal Bayyan",,,,,,,,"Hamza Lee, Color Me Badd",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abigail,"Really long intro, but does hold up altogether",Rips,Give Me One Reason,Tracy Chapman,,,,,Elektra,,,,,Don Gehman,Tracy Chapman,,,,,,,Tracy Chapman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abigail,"Good chorus, makes me feel like a 2000's backup dancer",Rips,Heartbreaker,Mariah Carey ,Jay-Z,,,,Columbia,,,,,Mariah Carey,DJ Clue,Ken “Duro” Ifill,,,,,,Mariah Carey,Shawn Carter,Shirley Elliston,Lincoln Chase,Narada Michael Walden,Jeffrey Cohen,,,,,,,,,,,,,,,,,,,,,,,,
Abigail,This is what I call a white boy bop. ,Rips,Drive By,Train,,,,,Columbia,,,,,Espionage,Butch Walker,,,,,,,Pat Monahan,Espen Lind,Amund Bjørklund,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abigail,"I respect it vocally, but it just doesn't rip",Doesn't Rip,Hold On,En Vogue,,,,,Atlantic,,,,,Denzil Foster,Thomas McElroy,,,,,,,Thomas McElroy,Denzil Foster,Terry Ellis,Cindy Herron,Maxine Jones,Dawn Robinson,,,,,,,,,,,,,,,,,,,,,,,,
Abigail,This one isn't as good as Looking through Patient Eyes,Doesn't Rip,"I'd Die Without You (From ""Boomerang"")",P.M. Dawn,,,,,Gee Street,LaFace,,,,P.M. Dawn,,,,,,,,Attrell Cordes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abigail,"Not the best ever, but good.",Rips,I Wanna Be Down,Brandy,,,,,Atlantic,,,,,Keith Crouch,,,,,,,,Keith Crouch,Kipper Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abigail,"More emotional rain music, not my fav",Doesn't Rip,Foolish Games/You Were Meant For Me,Jewel,,,,,Atlantic,,,,,Ben Keith,Peter Collin,,,,,,,Jewel Kilcher,Steve Poltz,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abigail,She ate. ,Rips,Genie In A Bottle,Christina Aguilera,,,,,RCA,,,,,David Frank,Steve Kipner,,,,,,,David Frank,Steve Kipner,Pamela Sheyne,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abigail,"Good emotional vibes, screaming at ex vibes",Rips,Just Like A Pill,P!nk,,,,,Arista,,,,,Dallas Austin,,,,,,,,Pink,Dallas Austin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abigail,"Very nice, vibes are good",Rips,Gangsta Lovin',Eve ,Alicia Keys,,,,Ruff Ryders,Interscope,,,,Irv Gotti,Channel 7,,,,,,,Alisa Yarbrough,Jonah Ellis,Lonnie Simmons,Eve Jeffers,,,,,,,,,,,,,,,,,,,,,,,,,,
Abigail,Kelly gets it,Rips,Miss Independent,Kelly Clarkson,,,,,RCA,,,,,Rhett Lawrence,,,,,,,,Kelly Clarkson,Rhett Lawrence,Christina Aguilera,Matt Morris,,,,,,,,,,,,,,,,,,,,,,,,,,
Abigail,Was waiting for it to get better. It didn't.,Doesn't Rip,"Never Leave You - Uh Ooh, Uh Oooh!",Lumidee,,,,,Universal,Straight Face,,,,DJ Tedsmooth,Trendsetta,,,,,,,Lumidee Cedeño,Teddy Mendez,Edwin Perez,Steven Marsden,,,,,,,,,,,,,,,,,,,,,,,,,,
Abigail,"It's catchy, not my fav and a little high pitched, but I get why it's here",Rips,Never Be The Same,Camila Cabello,,,,,Epic,Syco,,,,Frank Dukes,,,,,,,,Camila Cabello,Adam Feeney,Leo Rami Dawod,Jacob Ludwig Olofsson,Noonie Bao,Sasha Yatchenko,,,,,,,,,,,,,,,,,,,,,,,,
Abigail,Kinda meh,Doesn't Rip,Impulsive,Wilson Phillips,,,,,SBK,,,,,Glen Ballard,,,,,,,,Clif Magness,Steve Kipner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abigail,"Love the backing sound, bars are good",Rips,I Got 5 On It,Luniz,,,,,Noo Trybe,,,,,Tone Capone,,,,,,,,Anthony Gilmour,Claydes Smith,Dennis Thomas,Denzil Foster,Donald Boyce,Garrick Husbands,George Brown,Jay King,Jerold Ellis,Rick Westfield,Robert Bell,Robert Mickens,Ronald Bell,Thomas McElroy,Kirk Robinson,Nathan Bell,Clifford Adams,,,,,,,,,,,,,
Abigail,Really rips! ,Rips,Hey Baby,No Doubt ,Bounty Killer,,,,Interscope,,,,,Sly and Robbie,No Doubt,,,,,,,Gwen Stefani,Tony Kanal,Tom Dumont,Rodney Price,,,,,,,,,,,,,,,,,,,,,,,,,,
Abigail,Makes me feel not good,Doesn't Rip,On Fire,Lil Wayne,,,,,Young Money,Cash Money,Universal Motown,,,Cool & Dre,,,,,,,,D. Carter,A. Lyon,M. Valenzano,E. Montilla,G. Moroder,P. Bellotte,,,,,,,,,,,,,,,,,,,,,,,,
Abigail,White boy bop,Rips ,Stressed Out,twenty one pilots,,,,,Fueled by Ramen,,,,,Mike Elizondo,,,,,,,,Tyler Joseph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abigail,THE crying in the rain song,Rips,Set Fire To The Rain,Adele,,,,,XL,Columbia,,,,Fraser T. Smith,,,,,,,,Adele Adkins,Fraser T. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abigail,Makes me feel like I divorced my wife,Rips,All Of Me,John Legend,,,,,GOOD,Columbia,,,,Dave Tozer,John Legend,,,,,,,John Stephens,Toby Gad,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abigail,SO overplayed BUT can't deny rippage,Rips,All I Want For Christmas Is You,Mariah Carey,,,,,Columbia,,,,,Walter Afanasieff,Mariah Carey,,,,,,,Mariah Carey,Walter Afanasieff,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abigail,White boy bop's girlfriends music,Rips,Bubbly,Colbie Caillat,,,,,Universal Republic,,,,,Mikal Blue,,,,,,,,Colbie Caillat,Jason Reeves,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abigail,"Very fast feeling, not my favorite honestly, and SO long",Doesn't Rip,The Best Things In Life Are Free,Luther Vandross ,Janet Jackson ,BBD ,Ralph Tresvant,,Perspective,A&M,,,,Jimmy Jam and Terry Lewis,,,,,,,,Jimmy Jam and Terry Lewis,Michael Bivins,Ronnie DeVoe,Harry Wayne Casey,Richard Finch,,,,,,,,,,,,,,,,,,,,,,,,,
"Brad W, Sheniya",Classic bop,Rips,Livin' It Up,Ja Rule,Case,,,,Def Jam,Murder Inc.,,,,Lil' Rob,Irv Gotti,,,,,,,Jeffrey Atkins,Robert Mays,Irving Lorenzo,Stevie Wonder,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brad W, Sheniya","It's Lady Gaga, Of course it slaps",Rips,Just Dance,Lady Gaga,Colby O'Donis,,,,Streamline,KonLive,Cherrytree,Interscope,,RedOne,,,,,,,,Stefani Germanotta,"Nadir ""RedOne"" Khayat","Aliaune ""Akon"" Thiam",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brad W, Sheniya","Nice beat, but the lyrics were kinda mid",Doesn't rip,I'm On One,DJ Khaled,Drake ,Rick Ross,Lil Wayne,,We the Best,Terror Squad,Young Money,Cash Money,,T-Minus,"Noah ""40"" Shebib",Kromatik,,,,,,Aubrey Graham,William Roberts,"Dwayne Carter, Jr.",N. Cobey,Khaled Khaled,Tyler Williams,Nikhil Seetharam,Noah Shebib,,,,,,,,,,,,,,,,,,,,,,
"Brad W, Sheniya","Liked the beat, liked the lyrics, got chill hip hop vibes",Rips,Let Me Blow Ya Mind,Eve,Gwen Stefani,,,,Ruff Ryders,Interscope,,,,Dr. Dre,Scott Storch,,,,,,,Eve Jeffers,Andre Young,Mike Elizondo,Scott Storch,Steven Jordan,,,,,,,,,,,,,,,,,,,,,,,,,
"Brad W, Sheniya","Great vocals, nice breat, slaps",Rips,Hard,Rihanna,Jeezy,,,,Def Jam,SRP,,,,Tricky Stewart,The-Dream,,,,,,,Terius Nash,Christopher Stewart,Robyn Fenty,Jay Jenkins,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brad W, Sheniya","Beat isn't bad but ""boy"" got really old really quick",Doesn't rip,Oh Boy,Cam'Ron,Juelz Santana,,,,Roc-A-Fella,Diplomats,,,,Just Blaze,,,,,,,,"Justin Smith, Cameron Giles, LaRon James, Norman Whitfield",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brad W, Sheniya",Great song with a sick bass,Rips,Ni**as in Paris,Jay Z,Kanye West,,,,Roc-A-Fella Roc Nation,Roc Nation,Def Jam,,,Hit-Boy,Kanye West,Mike Dean,Anthony Kilhoffer,,,,,Kanye West,Shawn Carter,John Altschuler,Chauncey Hollis,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brad W, Sheniya","Has a good beat, nice guitar, pretty good rhythm for a dance song",Rips,Good Girls Go Bad,Cobra Starship,Leighton Meester,,,,Fueled by Ramen,Decaydance,,,,Kara DioGuardi,Kevin Rudolf,,,,,,,Gabe Saporta,Kara DioGuardi,Kevin Rudolf,Jacob Kasher,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brad W, Sheniya","Not bad, but prefer the remix people used for memes better",Rips,iSpy,KYLE,Lil Yachty,,,,Indie-Pop,Atlantic,,,,Naz,Chico Jay,SuperDuperBrick,Lege Kale,,,,,Kyle Harvey,Miles McCollum,Joshua Portillo,Justin Howze,Malik Keith,,,,,,,,,,,,,,,,,,,,,,,,,
"Brad W, Sheniya",Kinda mid,Doesn't rip,Oh,Ciara,Ludacris,,,,LaFace,Sho'nuff,,,,Dre & Vidal,,,,,,,,Ciara Harris,Christopher Bridges,Andre Harris,Vidal Davis,Doncarlos Price,,,,,,,,,,,,,,,,,,,,,,,,,
"Brad W, Sheniya","Mid, nothing to write home about",Doesn't rip,Here We Go,Funkmaster Flex Presents Khadejia,Product,,,,Loud Records,,,,,,,,,,,,,David McRae,Khadejia Bass,Marvin Moore-Hough,Wyclef Jean,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brad W, Sheniya","Sick bars, nice bear, ",Rips,Live Your Life,T.I.,Rihanna,,,,Grand Hustle,Atlantic,,,,Just Blaze,Canei Finch,,,,,,,Dan Bălan,Clifford Harris,Makeba Riddick,Justin Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brad W, Sheniya","I like the lyrics, the music and the harmony between Ariana and The Weeknd",Rips,Love Me Harder,Ariana Grande,The Weeknd,,,,Republic,,,,,Ali Payami,Peter Svensson,,,,,,,Max Martin,Savan Kotecha,Peter Svensson,Ali Payami,Abel Tesfaye,Ahmad Balshe,,,,,,,,,,,,,,,,,,,,,,,,
"Brad W, Sheniya","I like the beat and the harmony, slaps",Rips,No Limit,Usher,Young Thug,,,,RCA,,,,,B.A.M.,Perry,Rock City,WondaGurl (remix),,,,,Usher Raymond IV,Brandon Hodge,"Christopher ""Talent"" Perry",Theron Thomas,Timothy Thomas,Keith Thomas,Jeffrey Lamar Williams,Kgaugelo Nalane,,,,,,,,,,,,,,,,,,,,,,
"Brad W, Sheniya","Great beat, an absolute jam.",Rips,Meet Me Halfway,The Black Eyed Peas,,,,,Interscope,,,,,will.i.am,Keith Harris,,,,,,,William Adams,Jean Baptiste,Stacy Ferguson,Jaime Gomez,Sylvia Gordon,Keith Harris,Allan Lindo,,,,,,,,,,,,,,,,,,,,,,,
"Brad W, Dan H",I was not prepared for a song called Gangsta Lean to sound like this,Doesn't rip,Gangsta Lean,DRS,,,,,Roll Wit It/Capitol,,,,,The Whole 9,,,,,,,,"Taura Stinson, Milton Turner, Tracy Carter and Chris J. Jackson",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brad W, Sheniya","Nice slow song, great lyrics and instrumentals.",Rips,I Don't Ever Want To See You Again,Uncle Sam,,,,,Epic,Stonecreek,,,,Nathan Morris,,,,,,,,Nathan Morris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brad W, Sheniya","Not bad, but nothing to write home about",Rips,No More,Ruff Endz,,,,,Epic,,,,,"Eddie F, Darren Lighty",,,,,,,,"Edward Ferrell, Clifton Lighty, Darren Lighty, Balewa Muhammad",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brad W, Sheniya","A classic rock song, starts off slow but quicky picks up",Rips,Hanging By A Moment,Lifehouse,,,,,DreamWorks,,,,,Ron Aniello,,,,,,,,Jason Wade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brad W, Sheniya","Nice slow song, great vocals, liked the snaps",Rips,It's So Hard To Say Goodbye To Yesterday,Boyz II Men,,,,,Motown,,,,,Freddie Perren,,,,,,,,Freddie Perren,Christine Yarian,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brad W, Sheniya","Catchy, nice beat, great vocals",Rips,My Lovin' (You're Never Gonna Get It),En Vogue,,,,,EastWest,,,,,Denzil Foster,Thomas McElroy,,,,,,,Denzil Foster,Thomas McElroy,James Brown,Fred Wesley,John Starks,,,,,,,,,,,,,,,,,,,,,,,,,
"Brad W, Sheniya","Not bad, but nothig special",Doesn't rip,If I Had No Loot,Tony Toni Tone,,,,,PolyGram,Wing,,,,Tony! Toni! Toné!,,,,,,,,"Juan Bautista, Will Harris, Raphael Wiggins, Steve Cropper, Eddie Floyd, Ice Cube, Anthony Wheaton",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brad W, Dan H","The chorus is so unbelievably infectious, I don't regularly listen to this song but the chorus pops into my head on a weekly basis",rips,Gin And Juice,Snoop Dogg,,,,,Death Row,Interscope,,,,Dr. Dre,,,,,,,,Calvin Broadus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brad W, Sheniya","Not bad, but it's just another generic love song",Doesn't rip,Invisible Man,98 Degrees,,,,,Motown,,,,,"Dane DeViller, Sean Hosein",,,,,,,,"Dane DeViller, Sean Hosein, Steve Kipner",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brad W, Sheniya","Not bad, but just kinda mid",Doesn't rip,I Need To Know,Marc Anthony,,,,,Columbia,,,,,Marc Anthony,Cory Rooney,,,,,,,Marc Anthony,Cory Rooney,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brad W, Sheniya","Nice vocals, great instrumentals",Rips,Drops Of Jupiter (Tell Me),Train,,,,,Columbia,,,,,Brendan O'Brien,,,,,,,,Pat Monahan,Rob Hotchkiss,Charlie Colin,Scott Underwood,Jimmy Stafford ,,,,,,,,,,,,,,,,,,,,,,,,,
"Brad W, Sheniya",Just some generic cheating/can't get over ex contry song ,Doesn't rip,Lips Of An Angel,Jack Ingram,,,,,Universal Republic,,,,,Brian Howes,,,,,,,,Austin John Winkler,Cody Hanson,Brian Howes,Joseph Lombardo,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brad W, Sheniya","Not bad, but it's just another generic song about sex. Not a fan of the weird whisper singing or how she says ""uppers""",Doesn't rip,Hands To Myself,Selena Gomez,,,,,Interscope,,,,,Mattman & Robin,Max Martin,,,,,,,Justin Tranter,Julia Michaels,Robin Fredriksson,Mattias Larsson,Max Martin,Selena Gomez,,,,,,,,,,,,,,,,,,,,,,,,
"Brad W, Sheniya","Not bad, but just kinda mid, also just kinda repetitive",Doesn't rip,Most Girls,Hailee Steinfeld,,,,,Republic,,,,,Ryan Tedder,Zach Skelton,Kinetics & One Love,Chris O'Ryan (voc.),,,,,Hailee Steinfeld,Ryan Tedder,Zach Skelton,Tim Sommers,Jeremy Dussolliet,Asia Whiteacre,,,,,,,,,,,,,,,,,,,,,,,,
"Brad W, Sheniya","Beats good, but just mid",Doesn't rip,Issues,Meek Mill,,,,,Maybach,Atlantic,,,,Cardiak,Dougie,,,,,,,Robert Rihmeek Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brad W, Sheniya",Another generic love song,Doesn't rip,Fortunate,Maxwell,,,,,Columbia,,,,,R. Kelly,,,,,,,,Robert Kelly,Maxwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brad W, Sheniya","Great beat and vocals, slaps",Rips,Independent Women Part I,Destiny's Child,,,,,Columbia,,,,,Beyoncé Knowles,Poke and Tone,Cory Rooney,,,,,,Beyoncé Knowles,Samuel Barnes,Cory Rooney,Jean-Claude Olivier,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brad W, Dan H",I feel like I cringed at this song when I was in 8th grade but part of being an adult is acknowledging this fucking rips,rips,In The End,Linkin Park,,,,,Warner Bros.,,,,,Don Gilmore,,,,,,,,Brad Delson,Chester Bennington,Joe Hahn,Mike Shinoda,Rob Bourdon,,,,,,,,,,,,,,,,,,,,,,,,,
"Brad W, Sheniya","Nto bad, but nothing to write home about",Doesn't rip,Foolish,Ashanti,,,,,Def Jam,AJM,Murder Inc.,,,Irv Gotti,,,,,,,,Ashanti Douglas,Mark DeBarge,Etterlene Jordan,Irving Lorenzo,,,,,,,,,,,,,,,,,,,,,,,,,,
Brad W,,,"Me, Myself And I",Beyonce,,,,,Columbia,Music World,,,,Beyoncé Knowles,Scott Storch,,,,,,,Beyoncé Knowles,Scott Storch,Robert Waller,,,,,,,,,,,,,,,,,,,,,,,,,,,
